,year,team,scored,conceded,played,won,draw
0,2000,AC Milan,77,45,42,21,14
1,2000,Ajax Amsterdam,81,54,39,19,8
2,2000,Borussia Dortmund,46,52,37,12,10
3,2000,FC Barcelona,96,66,52,27,10
4,2000,FC Internazionale,57,42,40,17,13
5,2000,Juventus FC,58,39,40,21,11
6,2000,Manchester City,26,37,21,5,4
7,2000,Manchester United,120,48,54,37,11
8,2000,Paris Saint-Germain,70,62,44,16,14
9,2000,Real Madrid,100,62,54,31,11
10,2000,Sporting CP,61,37,40,22,10
11,2001,AC Milan,76,55,48,19,19
12,2001,Ajax Amsterdam,89,46,40,22,8
13,2001,Borussia Dortmund,76,37,44,24,12
14,2001,FC Barcelona,105,66,56,27,17
15,2001,FC Internazionale,80,57,46,24,10
16,2001,Juventus FC,85,41,46,26,14
17,2001,Manchester City,15,28,17,3,6
18,2001,Manchester United,99,58,51,26,11
19,2001,Paris Saint-Germain,51,35,41,14,18
20,2001,Real Madrid,113,64,57,32,13
21,2001,Sporting CP,81,41,41,24,6
22,2002,AC Milan,74,40,48,27,10
23,2002,Ajax Amsterdam,84,36,41,26,11
24,2002,Borussia Dortmund,82,50,48,24,14
25,2002,FC Barcelona,90,54,53,28,11
26,2002,FC Internazionale,92,53,49,28,14
27,2002,Juventus FC,80,32,45,27,12
28,2002,Manchester City,28,29,21,9,3
29,2002,Manchester United,115,53,57,36,11
30,2002,Paris Saint-Germain,59,34,41,20,10
31,2002,Real Madrid,101,56,52,26,16
32,2002,Sporting CP,67,41,37,21,9
33,2003,AC Milan,59,36,48,24,12
34,2003,Ajax Amsterdam,105,45,46,29,8
35,2003,Borussia Dortmund,66,52,44,18,13
36,2003,FC Barcelona,87,54,50,22,16
37,2003,FC Internazionale,73,50,47,21,15
38,2003,Juventus FC,99,52,48,29,10
39,2003,Manchester City,58,55,42,15,11
40,2003,Manchester United,103,38,48,37,5
41,2003,Paris Saint-Germain,43,31,37,17,10
42,2003,FC Red Bull Salzburg,2,11,4,1,0
43,2003,Real Madrid,120,62,55,36,12
44,2003,Sporting CP,59,37,38,21,9
45,2004,AC Milan,87,36,47,32,11
46,2004,Ajax Amsterdam,87,42,42,25,9
47,2004,Borussia Dortmund,47,45,34,13,9
48,2004,FC Barcelona,87,36,48,33,8
49,2004,FC Internazionale,92,64,50,19,22
50,2004,Juventus FC,76,40,46,30,8
51,2004,Manchester City,52,48,39,10,14
52,2004,Manchester United,78,48,49,24,15
53,2004,Paris Saint-Germain,51,42,44,19,15
54,2004,Real Madrid,83,63,49,25,9
55,2004,Sporting CP,76,40,40,23,9
56,2005,AC Milan,100,49,52,33,9
57,2005,Ajax Amsterdam,80,48,45,27,7
58,2005,Borussia Dortmund,53,46,34,16,10
59,2005,FC Barcelona,101,39,46,30,11
60,2005,FC Internazionale,84,39,51,32,11
61,2005,Juventus FC,92,37,49,35,7
62,2005,Manchester City,50,40,38,15,11
63,2005,Manchester United,76,36,48,27,12
64,2005,Paris Saint-Germain,40,37,38,15,11
65,2005,Real Madrid,87,49,47,29,6
66,2005,Sporting CP,79,54,48,26,6
67,2006,AC Milan,87,38,53,30,14
68,2006,Ajax Amsterdam,112,56,50,30,8
69,2006,Borussia Dortmund,43,39,34,11,14
70,2006,FC Barcelona,91,43,50,30,12
71,2006,FC Internazionale,80,40,49,31,10
72,2006,Juventus FC,37,21,25,13,10
73,2006,Manchester City,33,50,39,12,5
74,2006,Manchester United,89,35,45,33,5
75,2006,Paris Saint-Germain,47,48,43,10,19
76,2006,FC Red Bull Salzburg,6,9,6,2,1
77,2006,Real Madrid,81,44,45,24,13
78,2006,Sporting CP,52,23,38,24,7
79,2007,AC Milan,83,44,48,25,14
80,2007,Ajax Amsterdam,98,52,41,23,9
81,2007,Borussia Dortmund,46,52,34,13,4
82,2007,FC Barcelona,90,39,48,27,12
83,2007,FC Internazionale,93,34,45,33,10
84,2007,Juventus FC,35,15,17,10,5
85,2007,Manchester City,39,42,37,14,10
86,2007,Manchester United,99,37,49,34,7
87,2007,Paris Saint-Germain,47,42,43,16,12
88,2007,FC Red Bull Salzburg,10,6,6,4,0
89,2007,Real Madrid,94,53,47,30,9
90,2007,Sporting CP,63,26,36,19,12
91,2008,AC Milan,85,52,49,28,10
92,2008,Ajax Amsterdam,106,46,44,29,7
93,2008,Borussia Dortmund,53,53,36,12,15
94,2008,FC Barcelona,120,52,51,31,10
95,2008,FC Internazionale,71,38,46,27,11
96,2008,Juventus FC,79,39,46,25,14
